Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packet Length Mean,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,SYN Flag Count,Label
80,1293792,3,7,8.666666667,1658.142857,8991.398927,7.72921768,0,DDoS
80,4421382,4,0,6,0,5.42816703,0.904694505,0,DDoS
80,1083538,3,6,8.666666667,1933.5,10730.58813,8.306123089,0,DDoS
80,80034360,8,4,7,2900.25,145.6499433,0.149935603,0,DDoS
80,642654,3,6,8.666666667,1934.5,18101.49785,14.0044254,0,DDoS
80,79731718,8,5,7,2320.2,146.2027947,0.163046781,0,DDoS
80,306157,3,6,8.666666667,1934.5,37996.84476,29.39668209,0,DDoS
80,79780371,8,4,7,2901.75,146.1888414,0.150412938,0,DDoS
80,682575,3,5,8.666666667,2321.4,17042.81581,11.72032377,0,DDoS
80,79098660,8,6,7,1934.5,147.4487684,0.176994149,0,DDoS
80,670265,3,6,8.666666667,1934.5,17355.82195,13.42752493,0,DDoS
80,79099557,7,6,7.142857143,1934.5,147.3712425,0.164349846,0,DDoS
80,1270646,3,6,8.666666667,1934.5,9155.18563,7.083011319,0,DDoS
80,77818286,8,6,7,1933.5,149.7976966,0.179906301,0,DDoS
80,1281820,3,6,8.666666667,1934.5,9075.377198,7.021266637,0,DDoS
80,77807512,8,6,7,1934.5,149.8955525,0.179931213,0,DDoS
80,13724,3,6,8.666666667,1933.5,847201.9819,655.7854853,0,DDoS
80,10453138,4,0,6,0,2.29596127,0.382660212,0,DDoS
80,1632,3,6,8.666666667,1934.5,7128063.725,5514.705882,0,DDoS
80,10440135,5,0,6,0,2.873526061,0.47892101,0,DDoS
80,1604,3,6,8.666666667,1934.5,7252493.766,5610.972569,0,DDoS
1035,46,1,1,2,6,173913.0435,43478.26087,0,PortScan
1034,41,1,1,2,6,195121.9512,48780.4878,0,PortScan
5101,35,1,1,2,6,228571.4286,57142.85714,0,PortScan
6566,98,1,1,2,6,81632.65306,20408.16327,0,PortScan
1033,28,1,1,2,6,285714.2857,71428.57143,0,PortScan
5100,44,1,1,2,6,181818.1818,45454.54545,0,PortScan
5102,74,1,1,2,6,108108.1081,27027.02703,0,PortScan
6565,88,1,1,2,6,90909.09091,22727.27273,0,PortScan
1032,43,1,1,2,6,186046.5116,46511.62791,0,PortScan
1039,90,1,1,2,6,88888.88889,22222.22222,0,PortScan
555,37,1,1,2,6,216216.2162,54054.05405,0,PortScan
1038,62,1,1,2,6,129032.2581,32258.06452,0,PortScan
9595,50,1,1,2,6,160000,40000,0,PortScan
1037,72,1,1,2,6,111111.1111,27777.77778,0,PortScan
49175,128,1,1,2,6,62500,15625,0,PortScan
30718,44,1,1,2,6,181818.1818,45454.54545,0,PortScan
1036,43,1,1,2,6,186046.5116,46511.62791,0,PortScan
554,18,1,1,2,6,444444.4444,111111.1111,0,PortScan
49176,42,1,1,2,6,190476.1905,47619.04762,0,PortScan
9593,41,1,1,2,6,195121.9512,48780.4878,0,PortScan
9594,43,1,1,2,6,186046.5116,46511.62791,0,PortScan
26214,93,1,1,2,6,86021.50538,21505.37634,0,PortScan
417,76,1,1,2,6,105263.1579,26315.78947,0,PortScan
50500,20,1,1,2,6,400000,100000,0,PortScan
1031,49,1,1,2,6,163265.3061,40816.32653,0,PortScan
1030,49,1,1,2,6,163265.3061,40816.32653,0,PortScan
1175,140,1,1,2,6,57142.85714,14285.71429,0,PortScan
2492,30,1,1,2,6,266666.6667,66666.66667,0,PortScan
1174,45,1,1,2,6,177777.7778,44444.44444,0,PortScan
416,43,1,1,2,6,186046.5116,46511.62791,0,PortScan
10009,93,1,1,2,6,86021.50538,21505.37634,0,PortScan
10004,18,1,1,2,6,444444.4444,111111.1111,0,PortScan
60020,57,1,1,2,6,140350.8772,35087.7193,0,PortScan
16993,49,1,1,2,6,163265.3061,40816.32653,0,PortScan
10000,44,1,1,2,6,181818.1818,45454.54545,0,PortScan
4998,76,1,1,2,6,105263.1579,26315.78947,0,PortScan
16992,49,1,1,2,6,163265.3061,40816.32653,0,PortScan
10001,28,1,1,2,6,285714.2857,71428.57143,0,PortScan
10002,42,1,1,2,6,190476.1905,47619.04762,0,PortScan
10003,26,1,1,2,6,307692.3077,76923.07692,0,PortScan
6567,52,1,1,2,6,153846.1538,38461.53846,0,PortScan
80,99598736,7,7,47.71428571,1656.428571,119.7705963,0.140564033,0,DoS Hulk
80,99600857,6,6,55.5,1932.5,119.7580057,0.120480891,0,DoS Hulk
80,99599775,9,6,39.66666667,1932.5,120.0002711,0.15060275,0,DoS Hulk
80,99598731,7,6,51.14285714,1932.5,120.0115692,0.130523751,0,DoS Hulk
80,99600852,7,7,42.71428571,1656.428571,119.4166492,0.140561047,0,DoS Hulk
80,99601791,5,7,75.8,1656.428571,120.2187218,0.120479761,0,DoS Hulk
80,99601672,6,6,68.16666667,1932.5,120.5200652,0.120479905,0,DoS Hulk
80,99599637,8,6,38.5,1932.5,119.5084677,0.140562761,0,DoS Hulk
80,99600745,5,7,75.2,1656.428571,120.189864,0.120481027,0,DoS Hulk
80,99600627,6,6,62.33333333,1932.5,120.1699262,0.120481169,0,DoS Hulk
80,99598723,10,6,30.4,1932.5,119.4694032,0.16064463,0,DoS Hulk
80,99597641,8,6,42.875,1932.5,119.8622767,0.140565578,0,DoS Hulk
80,99599828,7,7,54.14285714,1656.428571,120.2210911,0.140562492,0,DoS Hulk
80,99596772,5,7,68.4,1656.428571,119.853282,0.120485833,0,DoS Hulk
80,99598841,8,6,40.875,1932.5,119.7001881,0.140563885,0,DoS Hulk
80,99596776,6,6,61.16666667,1932.5,120.1042893,0.120485828,0,DoS Hulk
80,99600720,6,6,52,1932.5,119.5473286,0.120481057,0,DoS Hulk
80,99596741,6,6,53.16666667,1932.5,119.622388,0.12048587,0,DoS Hulk
80,99597682,9,6,41.33333333,1932.5,120.1533988,0.150605915,0,DoS Hulk
80,99598675,6,7,72,1656.428571,120.7546185,0.130523825,0,DoS Hulk
80,99597698,7,6,47.85714286,1932.5,119.7818849,0.130525105,0,DoS Hulk
80,99598658,7,6,46.71428571,1932.5,119.700408,0.130523847,0,DoS Hulk
80,99597689,6,5,54.83333333,2319,119.7216534,0.11044433,0,DoS Hulk
80,99597677,8,5,44.375,2319,119.9827181,0.130525133,0,DoS Hulk
80,99597788,5,7,67.8,1656.428571,119.8219382,0.120484604,0,DoS Hulk
80,99596616,6,7,60.83333333,1656.428571,120.0844013,0.130526523,0,DoS Hulk
80,99597648,6,7,58,1656.428571,119.9124702,0.130525171,0,DoS Hulk
80,99592676,7,7,56.28571429,1656.428571,120.380338,0.140572586,0,DoS Hulk
80,99598689,6,6,59.83333333,1932.5,120.0216601,0.120483514,0,DoS Hulk
80,99599517,6,5,51.16666667,2319,119.4985715,0.110442303,0,DoS Hulk
80,99598780,7,6,47.57142857,1932.5,119.7605031,0.130523687,0,DoS Hulk
80,99597682,9,6,42,1932.5,120.2136411,0.150605915,0,DoS Hulk
80,99598677,7,6,50.28571429,1932.5,119.9513925,0.130523822,0,DoS Hulk
80,99599854,6,8,71.33333333,1449.375,120.7130284,0.140562455,0,DoS Hulk
80,99598732,6,6,51.33333333,1932.5,119.5095536,0.120483462,0,DoS Hulk
80,99600655,7,6,47.42857143,1932.5,119.7482085,0.13052123,0,DoS Hulk
80,99597632,7,6,52,1932.5,120.0731359,0.130525192,0,DoS Hulk
80,99600806,5,7,75.8,1656.428571,120.2199107,0.120480953,0,DoS Hulk
80,99595685,5,6,62,1932.5,119.533291,0.110446552,0,DoS Hulk
53428,52,1,1,0,0,0,38461.53846,0,BENIGN
53,146,2,2,36,52,1205479.452,27397.26027,0,BENIGN
53,147,2,2,45,61,1442176.871,27210.88435,0,BENIGN
443,94387329,77,111,83.76623377,500.6036036,657.0479391,1.991792775,0,BENIGN
53,202,2,2,41,88,1277227.723,19801.9802,0,BENIGN
80,36955,1,1,0,0,0,54.11987552,0,BENIGN
22,167,1,1,0,0,0,11976.0479,0,BENIGN
443,117616117,14,9,96.57142857,242.5555556,30.05540474,0.195551431,0,BENIGN
443,5062003,7,4,90.71428571,42,158.6328574,2.173052841,0,BENIGN
53,30850,2,2,42,141,11863.85737,129.6596434,0,BENIGN
53,391,2,2,41,155,1002557.545,10230.17903,0,BENIGN
55059,89890606,5,9,2321.4,6.888888889,129.8133422,0.155744862,0,BENIGN
53,240,2,2,48,134,1516666.667,16666.66667,0,BENIGN
53,114020227,2,2,48,322.5,6.498846911,0.035081495,0,BENIGN
53,201,2,2,38,102,1393034.826,19900.49751,0,BENIGN
80,5500811,3,1,4,0,2.18149651,0.727165503,0,BENIGN
443,2548146,4,0,0,0,0,1.569768765,0,BENIGN
443,22016,1,3,0,25.66666667,3497.456395,181.6860465,0,BENIGN
53,331,2,2,35,104,839879.1541,12084.59215,0,BENIGN
53,235,2,2,48,306,3012765.957,17021.2766,0,BENIGN
52495,73,1,1,0,0,0,27397.26027,0,BENIGN
39222,54,1,1,6,6,222222.2222,37037.03704,0,BENIGN
53,24468,2,2,32,72,8500.899134,163.4788295,0,BENIGN
53,60690,1,1,42,100,2339.759433,32.95435821,0,BENIGN
49419,3,2,0,6,0,4000000,666666.6667,0,BENIGN
254,3,2,0,2,0,1333333.333,666666.6667,0,BENIGN
53,24071,2,2,37,121,13127.83017,166.1750654,0,BENIGN
443,138359,9,12,117.3333333,317.25,35147.69549,151.7790675,0,BENIGN
53,69008,2,2,32,88,3477.85764,57.96429399,0,BENIGN
53,23823,2,2,35,51,7219.913529,167.9049658,0,BENIGN
49656,50,1,1,0,0,0,40000,0,BENIGN
53,31030,2,2,48,90,8894.618112,128.9075089,0,BENIGN
45156,48,1,1,0,0,0,41666.66667,0,BENIGN
443,65,2,0,6,0,184615.3846,30769.23077,0,BENIGN
443,100964,2,1,6,0,118.8542451,29.71356127,0,BENIGN
443,63678816,9,4,20.77777778,46,5.82611335,0.204149524,1,BENIGN
80,2217233,4,4,127.25,477.25,1090.548445,3.608100727,0,BENIGN
123,90664,1,1,48,48,1058.854672,22.05947234,0,BENIGN
